Date,Close,Date,Volume
2024-03-19,5241.75,2024-03-19,1440289
2024-03-20,5286.75,2024-03-20,1404974
2024-03-21,5302.5,2024-03-21,1326994
2024-03-22,5293.25,2024-03-22,1162606
2024-03-25,5278.25,2024-03-25,920608
2024-03-26,5265.25,2024-03-26,1092706
2024-03-27,5308.25,2024-03-27,1487671
2024-03-28,5308.5,2024-03-28,1317836
2024-04-01,5295.25,2024-04-01,1125234
2024-04-02,5260.5,2024-04-02,1426691
2024-04-03,5266.5,2024-04-03,1402981
2024-04-04,5197.25,2024-04-04,1941274
2024-04-05,5253.0,2024-04-05,1908306
2024-04-08,5253.25,2024-04-08,1167648
2024-04-09,5260.25,2024-04-09,1651973
2024-04-10,5207.75,2024-04-10,2369864
2024-04-11,5243.25,2024-04-11,1762470
2024-04-12,5167.5,2024-04-12,2005106
2024-04-15,5104.0,2024-04-15,2226105
2024-04-16,5092.5,2024-04-16,2098015
2024-04-17,5062.25,2024-04-17,1928645
2024-04-18,5049.0,2024-04-18,1701401
2024-04-19,5003.75,2024-04-19,2357143
2024-04-22,5047.5,2024-04-22,1584393
2024-04-23,5106.5,2024-04-23,1357493
2024-04-24,5107.5,2024-04-24,1512469
2024-04-25,5082.25,2024-04-25,1887635
2024-04-26,5131.5,2024-04-26,1455855
2024-04-29,5147.0,2024-04-29,1163440
2024-04-30,5067.0,2024-04-30,1675335
2024-05-01,5046.5,2024-05-01,1955160
2024-05-02,5091.5,2024-05-02,1573131
2024-05-03,5154.75,2024-05-03,1604172
2024-05-06,5206.5,2024-05-06,1019307
2024-05-07,5213.75,2024-05-07,1106457
2024-05-08,5212.75,2024-05-08,1013418
2024-05-09,5239.0,2024-05-09,1094931
2024-05-10,5246.25,2024-05-10,1112925
2024-05-13,5245.5,2024-05-13,922763
2024-05-14,5269.5,2024-05-14,1252615
2024-05-15,5333.0,2024-05-15,1391029
2024-05-16,5320.25,2024-05-16,1207843
2024-05-17,5327.25,2024-05-17,1052765
2024-05-20,5331.75,2024-05-20,1031456
2024-05-21,5345.25,2024-05-21,1011849
2024-05-22,5328.0,2024-05-22,1257477
2024-05-23,5285.25,2024-05-23,2012153
2024-05-24,5321.5,2024-05-24,1264244
2024-05-28,5324.75,2024-05-28,1387872
2024-05-29,5284.0,2024-05-29,1445855
2024-05-30,5253.0,2024-05-30,1495148
2024-05-31,5295.5,2024-05-31,2452894
